sku,component_id,component_name,component_cost
LAP1020,C001,Motherboard,28000
LAP1028,C001,Motherboard,27000
LAP1030,C001,Motherboard,26500
LAP1014,C001,Motherboard,26000
LAP1016,C001,Motherboard,25000
LAP1012,C001,Motherboard,24000
LAP1023,C001,Motherboard,23000
LAP1011,C001,Motherboard,22000
LAP1024,C001,Motherboard,21500
LAP1020,C002,Display,21000
LAP1027,C001,Motherboard,20500
LAP1028,C002,Display,20000
LAP1018,C001,Motherboard,19500
LAP1026,C001,Motherboard,19500
LAP1030,C002,Display,19500
LAP1014,C002,Display,19000
LAP1017,C001,Motherboard,19000
LAP1022,C001,Motherboard,19000
LAP1002,C001,Motherboard,18900
LAP1005,C001,Motherboard,18900
LAP1008,C001,Motherboard,18900
LAP1001,C001,Motherboard,18000
LAP1004,C001,Motherboard,18000
LAP1007,C001,Motherboard,18000
LAP1010,C001,Motherboard,18000
LAP1013,C001,Motherboard,18000
LAP1016,C002,Display,18000
LAP1003,C001,Motherboard,17100
LAP1006,C001,Motherboard,17100
LAP1009,C001,Motherboard,17100
LAP1012,C002,Display,17000
LAP1023,C002,Display,16500
LAP1019,C001,Motherboard,16000
LAP1024,C002,Display,15500
LAP1011,C002,Display,15000
LAP1015,C001,Motherboard,15000
LAP1025,C001,Motherboard,15000
LAP1027,C002,Display,15000
LAP1018,C002,Display,14500
LAP1021,C001,Motherboard,14500
LAP1017,C002,Display,14000
LAP1026,C002,Display,14000
LAP1022,C002,Display,13500
LAP1029,C001,Motherboard,13500
LAP1002,C002,Display,12600
LAP1005,C002,Display,12600
LAP1008,C002,Display,12600
LAP1013,C002,Display,12500
LAP1001,C002,Display,12000
LAP1004,C002,Display,12000
LAP1007,C002,Display,12000
LAP1010,C002,Display,12000
LAP1003,C002,Display,11400
LAP1006,C002,Display,11400
LAP1009,C002,Display,11400
LAP1019,C002,Display,10500
LAP1015,C002,Display,10000
LAP1025,C002,Display,10000
LAP1021,C002,Display,9500
LAP1020,C003,Battery,9000
LAP1020,C004,SSD,9000
LAP1028,C003,Battery,9000
LAP1029,C002,Display,9000
LAP1030,C003,Battery,8800
LAP1014,C003,Battery,8500
LAP1016,C003,Battery,8500
LAP1028,C004,SSD,8500
LAP1030,C004,SSD,8500
LAP1012,C003,Battery,8000
LAP1014,C004,SSD,8000
LAP1016,C004,SSD,8000
LAP1023,C003,Battery,8000
LAP1011,C003,Battery,7500
LAP1012,C004,SSD,7500
LAP1023,C004,SSD,7500
LAP1024,C003,Battery,7500
LAP1027,C003,Battery,7200
LAP1024,C004,SSD,7000
LAP1026,C003,Battery,6800
LAP1027,C004,SSD,6800
LAP1011,C004,SSD,6500
LAP1017,C003,Battery,6500
LAP1018,C003,Battery,6500
LAP1018,C004,SSD,6500
LAP1022,C003,Battery,6500
LAP1002,C003,Battery,6300
LAP1005,C003,Battery,6300
LAP1008,C003,Battery,6300
LAP1026,C004,SSD,6200
LAP1001,C003,Battery,6000
LAP1004,C003,Battery,6000
LAP1007,C003,Battery,6000
LAP1010,C003,Battery,6000
LAP1013,C003,Battery,6000
LAP1017,C004,SSD,6000
LAP1022,C004,SSD,6000
LAP1003,C003,Battery,5700
LAP1006,C003,Battery,5700
LAP1009,C003,Battery,5700
LAP1013,C004,SSD,5500
LAP1002,C004,SSD,5250
LAP1005,C004,SSD,5250
LAP1008,C004,SSD,5250
LAP1019,C003,Battery,5200
LAP1001,C004,SSD,5000
LAP1004,C004,SSD,5000
LAP1007,C004,SSD,5000
LAP1010,C004,SSD,5000
LAP1015,C003,Battery,5000
LAP1025,C003,Battery,5000
LAP1019,C004,SSD,4800
LAP1021,C003,Battery,4800
LAP1003,C004,SSD,4750
LAP1006,C004,SSD,4750
LAP1009,C004,SSD,4750
LAP1015,C004,SSD,4500
LAP1025,C004,SSD,4500
LAP1029,C003,Battery,4500
LAP1021,C004,SSD,4200
LAP1029,C004,SSD,4000
LAP1020,C005,Keyboard,3800
LAP1028,C005,Keyboard,3700
LAP1030,C005,Keyboard,3600
LAP1014,C005,Keyboard,3500
LAP1016,C005,Keyboard,3400
LAP1012,C005,Keyboard,3200
LAP1023,C005,Keyboard,3200
LAP1011,C005,Keyboard,3000
LAP1024,C005,Keyboard,3000
LAP1027,C005,Keyboard,2900
LAP1018,C005,Keyboard,2800
LAP1020,C006,Cooling Fan,2800
