listing_id,title,matched_sku,listing_type,condition,price,seller,listing_date
M001,EcoBook Pro 14 Laptop 16GB,LAP1001,product,Good,42000,Seller_A,01-07-2026
M002,EcoBook Pro14 i7 Used Laptop,LAP1001,product,Used,38000,Seller_B,03-07-2026
M003,Eco Book Pro 14 Screen Display,LAP1001,component,Used,9000,Seller_C,05-07-2026
M004,EcoBook Pro 14 Battery Original,LAP1001,component,Used,4000,Seller_D,06-07-2026
M005,EcoBook Pro 14 Motherboard,LAP1001,component,For Parts,2200,Seller_E,07-07-2026
M006,EcoBook Air 13 Laptop,LAP1002,product,Good,36000,Seller_F,02-07-2026
M007,EcoBook Air13 13-inch Used,LAP1002,product,Fair,32000,Seller_G,04-07-2026
M008,EcoBook Air 13 Display Panel,LAP1002,component,Used,8200,Seller_H,08-07-2026
M009,EcoBook Basic 15 Laptop,LAP1003,product,Good,26000,Seller_I,02-07-2026
M010,EcoBook Basic15 Used Notebook,LAP1003,product,Used,23000,Seller_J,09-07-2026
M011,EcoBook Basic 15 Battery,LAP1003,component,Used,3000,Seller_K,10-07-2026
M012,EcoBook Pro 16 16-inch Laptop,LAP1004,product,Good,57000,Seller_L,01-07-2026
M013,EcoBook Pro16 Used 32GB,LAP1004,product,Good,61000,Seller_M,11-07-2026
M014,EcoBook Pro 16 Display,LAP1004,component,Used,11500,Seller_N,12-07-2026
M015,EcoBook Air 15 Laptop,LAP1005,product,Used,39000,Seller_O,03-07-2026
M016,EcoBook Air15 i5 Laptop,LAP1005,product,Fair,35000,Seller_P,13-07-2026
M017,EcoBook Pro 13 Laptop,LAP1006,product,Good,33000,Seller_Q,04-07-2026
M018,EcoBook Pro13 Battery,LAP1006,component,Used,3800,Seller_R,14-07-2026
M019,EcoBook Basic 14 Laptop,LAP1007,product,Fair,21000,Seller_S,05-07-2026
M020,EcoBook Basic14 Used,LAP1007,product,Parts,15000,Seller_T,15-07-2026
M021,EcoBook Pro 15 Laptop,LAP1008,product,Good,47000,Seller_U,06-07-2026
M022,EcoBook Pro15 16GB Used,LAP1008,product,Used,44000,Seller_V,16-07-2026
M023,EcoBook Air 14 Laptop,LAP1009,product,Good,34000,Seller_W,07-07-2026
M024,EcoBook Air14 Used Notebook,LAP1009,product,Used,30000,Seller_X,17-07-2026
M025,EcoBook Basic 13 Laptop,LAP1010,product,Fair,18000,Seller_Y,08-07-2026
M026,EcoBook Basic13 For Parts,LAP1010,product,For Parts,12000,Seller_Z,18-07-2026
M027,EcoBook Ultra 15 Laptop - Excellent,LAP1011,product,Excellent,61000,Seller_A,01-05-2026
M028,EcoBook Ultra 15 Laptop - Good,LAP1011,product,Good,54900,Seller_B,08-05-2026
M029,EcoBook Ultra 15 Laptop - Fair,LAP1011,product,Fair,47600,Seller_C,15-05-2026
M030,EcoBook Pro Max 14 Laptop - Good,LAP1012,product,Good,60300,Seller_B,02-06-2026
M031,EcoBook Pro Max 14 Laptop - Fair,LAP1012,product,Fair,52300,Seller_C,09-06-2026
M032,EcoBook Pro Max 14 Laptop - Used,LAP1012,product,Used,46900,Seller_D,16-06-2026
M033,EcoBook Air Plus 13 Laptop - Fair,LAP1013,product,Fair,36700,Seller_C,03-07-2026
M034,EcoBook Air Plus 13 Laptop - Used,LAP1013,product,Used,32900,Seller_D,10-07-2026
