sku,component_id,units_sold,failure_count,failure_rate
LAP1001,C001,750,206,0.2747
LAP1001,C002,750,29,0.0387
LAP1001,C003,750,132,0.176
LAP1001,C004,750,51,0.068
LAP1001,C005,750,44,0.0587
LAP1001,C006,750,66,0.088
LAP1002,C001,800,228,0.285
LAP1002,C002,800,33,0.0412
LAP1002,C003,800,147,0.1838
LAP1002,C004,800,57,0.0712
LAP1002,C005,800,49,0.0612
LAP1002,C006,800,73,0.0912
LAP1003,C001,850,252,0.2965
LAP1003,C002,850,36,0.0424
LAP1003,C003,850,162,0.1906
LAP1003,C004,850,63,0.0741
LAP1003,C005,850,54,0.0635
LAP1003,C006,850,81,0.0953
LAP1004,C001,900,237,0.2633
LAP1004,C002,900,34,0.0378
LAP1004,C003,900,152,0.1689
LAP1004,C004,900,59,0.0656
LAP1004,C005,900,51,0.0567
LAP1004,C006,900,76,0.0844
LAP1005,C001,950,261,0.2747
LAP1005,C002,950,37,0.0389
LAP1005,C003,950,168,0.1768
LAP1005,C004,950,65,0.0684
LAP1005,C005,950,56,0.0589
LAP1005,C006,950,84,0.0884
LAP1006,C001,1000,286,0.286
LAP1006,C002,1000,41,0.041
LAP1006,C003,1000,184,0.184
LAP1006,C004,1000,71,0.071
LAP1006,C005,1000,61,0.061
LAP1006,C006,1000,92,0.092
LAP1007,C001,1050,312,0.2971
LAP1007,C002,1050,45,0.0429
LAP1007,C003,1050,200,0.1905
LAP1007,C004,1050,78,0.0743
LAP1007,C005,1050,67,0.0638
LAP1007,C006,1050,100,0.0952
LAP1008,C001,1100,290,0.2636
LAP1008,C002,1100,41,0.0373
LAP1008,C003,1100,186,0.1691
LAP1008,C004,1100,72,0.0655
LAP1008,C005,1100,62,0.0564
LAP1008,C006,1100,93,0.0845
LAP1009,C001,1150,316,0.2748
LAP1009,C002,1150,45,0.0391
LAP1009,C003,1150,203,0.1765
LAP1009,C004,1150,79,0.0687
LAP1009,C005,1150,68,0.0591
LAP1009,C006,1150,101,0.0878
LAP1010,C001,1200,343,0.2858
LAP1010,C002,1200,49,0.0408
LAP1010,C003,1200,220,0.1833
LAP1010,C004,1200,86,0.0717
LAP1010,C005,1200,73,0.0608
LAP1010,C006,1200,110,0.0917
LAP1011,C001,583,113,0.193825043
LAP1011,C002,583,28,0.048027444
LAP1011,C003,583,84,0.144082333
LAP1011,C004,583,52,0.089193825
LAP1011,C005,583,17,0.02915952
LAP1011,C006,583,41,0.070325901
LAP1012,C001,666,119,0.178678679
LAP1012,C002,666,43,0.064564565
LAP1012,C003,666,87,0.130630631
LAP1012,C004,666,51,0.076576577
LAP1012,C005,666,31,0.046546547
LAP1012,C006,666,38,0.057057057
LAP1013,C001,749,124,0.165554072
LAP1013,C002,749,38,0.050734312
LAP1013,C003,749,110,0.146862483
LAP1013,C004,749,46,0.06141522
LAP1013,C005,749,25,0.033377837
LAP1013,C006,749,55,0.073431242
LAP1014,C001,832,151,0.181490385
LAP1014,C002,832,57,0.068509615
LAP1014,C003,832,111,0.133413462
LAP1014,C004,832,66,0.079326923
LAP1014,C005,832,42,0.050480769
LAP1014,C006,832,50,0.060096154
LAP1015,C001,514,86,0.167315175
LAP1015,C002,514,28,0.054474708
LAP1015,C003,514,77,0.149805447
LAP1015,C004,514,33,0.064202335
LAP1015,C005,514,19,0.036964981
LAP1015,C006,514,40,0.077821012
LAP1016,C001,597,110,0.184254606
LAP1016,C002,597,24,0.040201005
LAP1016,C003,597,81,0.135678392
LAP1016,C004,597,49,0.082077052
LAP1016,C005,597,13,0.021775544
LAP1016,C006,597,38,0.063651591
LAP1017,C001,680,116,0.170588235
LAP1017,C002,680,39,0.057352941
LAP1017,C003,680,104,0.152941176
LAP1017,C004,680,46,0.067647059
LAP1017,C005,680,27,0.039705882
LAP1017,C006,680,54,0.079411765
LAP1018,C001,763,143,0.187418087
LAP1018,C002,763,33,0.043250328
LAP1018,C003,763,106,0.138925295
LAP1018,C004,763,65,0.085190039
LAP1018,C005,763,19,0.024901704
LAP1018,C006,763,50,0.065530799
LAP1019,C001,846,147,0.173758865
LAP1019,C002,846,51,0.060283688
LAP1019,C003,846,106,0.125295508
LAP1019,C004,846,60,0.070921986
LAP1019,C005,846,36,0.042553191
LAP1019,C006,846,44,0.052009456
LAP1020,C001,528,101,0.191287879
LAP1020,C002,528,24,0.045454545
LAP1020,C003,528,75,0.142045455
LAP1020,C004,528,46,0.087121212
LAP1020,C005,528,15,0.028409091
LAP1020,C006,528,36,0.068181818
LAP1021,C001,611,108,0.176759411
LAP1021,C002,611,38,0.062193126
LAP1021,C003,611,78,0.127659574
LAP1021,C004,611,45,0.073649755
LAP1021,C005,611,27,0.044189853
LAP1021,C006,611,34,0.055646481
LAP1022,C001,694,135,0.194524496
LAP1022,C002,694,34,0.048991354
LAP1022,C003,694,101,0.145533141
LAP1022,C004,694,42,0.060518732
LAP1022,C005,694,22,0.031700288
LAP1022,C006,694,50,0.07204611
LAP1023,C001,777,140,0.18018018
LAP1023,C002,777,51,0.065637066
LAP1023,C003,777,102,0.131274131
LAP1023,C004,777,60,0.077220077
LAP1023,C005,777,37,0.047619048
LAP1023,C006,777,45,0.057915058
LAP1024,C001,860,143,0.16627907
LAP1024,C002,860,45,0.052325581
LAP1024,C003,860,127,0.147674419
LAP1024,C004,860,54,0.062790698
LAP1024,C005,860,29,0.03372093
LAP1024,C006,860,64,0.074418605
LAP1025,C001,542,99,0.182656827
LAP1025,C002,542,37,0.068265683
LAP1025,C003,542,73,0.134686347
LAP1025,C004,542,43,0.079335793
LAP1025,C005,542,11,0.020295203
LAP1025,C006,542,33,0.060885609
LAP1026,C001,625,106,0.1696
LAP1026,C002,625,34,0.0544
LAP1026,C003,625,94,0.1504
LAP1026,C004,625,41,0.0656
LAP1026,C005,625,23,0.0368
LAP1026,C006,625,49,0.0784
LAP1027,C001,708,132,0.186440678
LAP1027,C002,708,29,0.040960452
LAP1027,C003,708,97,0.13700565
LAP1027,C004,708,59,0.083333333
LAP1027,C005,708,16,0.02259887
LAP1027,C006,708,45,0.063559322
LAP1028,C001,791,136,0.17193426
LAP1028,C002,791,46,0.058154235
LAP1028,C003,791,122,0.154235145
LAP1028,C004,791,55,0.069532238
LAP1028,C005,791,32,0.04045512
LAP1028,C006,791,40,0.0505689
LAP1029,C001,874,165,0.188787185
LAP1029,C002,874,38,0.043478261
LAP1029,C003,874,122,0.139588101
LAP1029,C004,874,75,0.085812357
LAP1029,C005,874,23,0.026315789
LAP1029,C006,874,59,0.067505721
LAP1030,C001,556,97,0.174460432
LAP1030,C002,556,34,0.061151079
LAP1030,C003,556,70,0.125899281
LAP1030,C004,556,40,0.071942446
LAP1030,C005,556,24,0.043165468
LAP1030,C006,556,29,0.052158273
